AssetID,Asset Name,Asset Category,Asset SubCategory,Asset Category_old,Notes
22078aa5-73f2-45ee-9b3b-56f0b8d6a606,"Nike x Louis Vuitton Air Force 1 „Green"" Friends & Family (1-of-30)",,,,
25d68008-2bda-49a0-9afa-26afa2ca1b7b,"Nike x Louis Vuitton Air Force 1 „Light Blue"" Friends & Family (1-of-20)",Fashion & Accesoires,,,
9db6e785-f001-4512-88c2-535d9d7646aa,"Nike x Louis Vuitton Air Force 1 „Orange"" Friends & Family (1-of-20)",,,,
5b225d20-07fa-4e91-8f7d-9f529a2c83f3,"Nike x Louis Vuitton Air Force 1 „Red"" Friends & Family (1-of-20)",,,,
b8d983d5-7292-4d13-b2ea-89e881c5d1fb,"Nike, Air Jordan 4 Travis Scott Purple F&F",,,,
e97e2085-c668-4d1d-8bd5-f4bf80c35128,"Nike, Air Jordan 8 Kobe PE",,,,
5a969f81-932b-4ec0-8e6f-69c39eea88f2,"Nike, SB Dunk Low City Pack",,,,
85fd3cc1-c363-4a3a-bf43-0f255477138c,"Nike, SB Dunk Low Pigeon, 2005",,,,
dbdf2243-c2ec-4e37-8dee-d36cb2e503a3,"Omega, Speedmaster Moonwatch “Snoopy”",,,,
9dc2efa3-775c-49de-aaa1-62b48f6e722c,"Pablo Picasso, The Painter II, 1970",,,,
11e084d7-164f-4501-91f1-e1a9b3372c5c,Patek Philippe - Aquanaut - Reference 5167R-001,,,,
55e6dd03-5359-4ed9-b1b9-72693ae094bd,"Patek Philippe, Nautilus Travel Time Chronograph",,,,
b7a01413-7405-4b74-a212-d4fd77331e1a,"Patek Philippe, Nautilus, 5711/1A-011",,,,
437960b4-2ca4-4a83-9325-bee17ffccba5,Peyton Manning 2006 Exquisite Game Used Rare Materials Signature 1of1 BGS 8.5 + 10 Auto,,,,
e10407fe-2c72-4490-a6df-a2fe786219ab,"Philip Tsiaras, Aqua Equus, 2023",,,,
e9f8bb6f-76ba-45e1-9cdb-f77ba1ccaaf7,"Pieter Obels, Chasing a Feeling, 2024",Art,Sculptures,Art,
cdf4de9a-7d20-4ae1-91f8-24bed347cbb5,"Pieter Obels, Go Whisper Softly, 2025",,,,
ff19c3bd-93b4-4b9d-8b50-4e1a4b128850,Pokémon - 2 case fresh Fossil 1st Edition Booster Boxes,,,,
d6bc6f41-bec9-4b1d-b3d3-caca635482f2,Pokémon Japanese Neo 2 - Crossing the Ruins Booster Box - Part 2,,,,
036ce9d2-cfb6-4e04-80e6-440d59906806,"Pokémon XY ""Furious Fists"" (sealed case)",,,,
fc78cdd8-92fc-456b-ac2f-2b7794e25270,"Pokémon XY Base Set & Primal Clash (2 Cases, 6 Boosterboxes each)",,,,
e1216634-8d46-4f5d-9aaa-f1fe91a727db,"Porsche 911, 930 SSC, 1986",,,,
f92d95cb-ca4a-43a7-a7d8-f3c5c7a566e8,"Raghav Babbar, A Lone Winter Night, 2024",,,,
ef1bee48-c50b-4bc1-b24b-1b4505524276,"Raghav Babbar, Flowers for Ceremony, 2023",,,,
f8a1662c-8a65-42d7-a46d-fabf286e0180,"Raghav Babbar, Mother and the Winter in North India, 2023",,,,
6ea266db-8054-452f-a64e-16c348495304,"Raghav Babbar, My Twin a Poser, 2021",,,,
f7391f3b-30bc-401a-a433-74d13a39b89a,"Raghav Babbar, The Couple in Katong (Singapore), 2023",,,,
d400480d-b463-4161-aa49-8c9e26a687bb,Rimowa x Aimé Leon Dore suitcase (set of 4),,,,
a36fa6e2-6ea2-4904-bdb4-bd41b8b23f1b,"Robert Zehnder, Deep Tissue, 2021",,,,
10c13e82-c182-482e-838d-2e6331f63b0f,Rolex Datejust - 2021 - Reference 126300,,,,
0ee5ca21-9c1f-47d7-a031-14bf647ede71,"Rolex, Daytona, Ref. 6239 Vintage",,,,
24879b9d-d906-4cd3-8ec8-913c7e727bb7,"Rudolf Stingel, Untitled, 2009",,,,
d49828a9-d5d0-4427-bdc4-d45da3748109,"Sapphire, Blue, Oval, 9,15 Carat",Gemstones,Sapphire,,
9521c06c-5f65-4bc2-bf6c-3e9353163e9c,"Sunlight to Bodega Bay, Winston Branch (2004)",,,,
09e27fc7-08f1-47a7-8983-628294c23929,The Macallan – 50 und 55 YO,Spirits,The Macallen,,
ae18891a-39c0-4457-9bca-cd7a1b05d555,The Macallan – 57 YO,Spirits,The Macallen,,
6c98432b-32d2-4144-87ee-4244e4a43dc1,The Macallan – 60 YO,Spirits,The Macallen,,
ee483029-3a5d-49d2-9c84-b521ed41bae1,"The Macallan, 18 Yrs Double Cask, 2022",Spirits,The Macallen,,
f8904bc0-d734-404d-b988-1d70a469d8f1,"The Macallan, 18 Yrs Sherry Cask, 2017",Spirits,The Macallen,,
231a0763-ce31-4f02-9472-fbe0a66cda31,"The Macallan, 78 YO Red-Collection, 2020",Spirits,The Macallen,,
c8aee5a2-cbcf-4896-99f5-2443244939bf,"The Macallan, Easter Elchies, Vertical Collection",Spirits,The Macallen,,
1588c8ec-4727-4279-afc0-65be8fa369dc,"The Macallan, Exceptional Cask Selection, Vertical Collection",Spirits,The Macallen,,
4ec79cff-19aa-4ba1-ab48-3ba01ecadc7e,"Thomas Dillon, Portfolio of two works, 2023/2025",,,,
ad9e26eb-1047-4737-acc7-2de07e158814,"Tom Brady, 2014 Immaculate Premium Patch Auto (#12/49), BGS 8,5 / Auto 10",,,,
de3340bd-583d-4427-a949-dd7320547d43,"Tom de Freston, An Echo Chamber Waiting For Music, 2024",,,,
bc762b6c-2592-4795-87ad-ebc2e539b5ed,"Tom de Freston, Darkness Visible, 2021",,,,
bfdea409-ff34-490d-939b-58e047254c7e,"Tom de Freston, On the Edge of the Forest, 2024",,,,
93d8c24b-a04b-426d-bade-0d2b6f39e17d,"Tracey Emin, I Did Not Say... (3 of 3), 2012",,,,
b0ba4e49-7786-42e1-ba70-1269017884e3,Wayne Gretzky 2000 Upper Deck Master Collection Quad Patch Auto 6of9 BGS 8 + 10,,,,
acd858bb-ae77-41fc-bfa6-55bd6f1b9383,Wayne Gretzky 2011 SP Game Used Eight Patches 1of1 BGS 7,,,,
d81ce499-35e6-4eab-b061-c8dc05cb9c0b,"Winston Branch, Untitled, 1993",,,,
6111e1cd-2b33-4d5b-8498-ccb117552904,"Winston Branch, Untitled, 1997",,,,
7f39cf2f-2933-4095-9984-d7e00287387c,"Winston Branch, Untitled, 2023",,,,
2927783f-94af-4181-9bf0-947149a30779,"Worn Stanford Nike polo , Signed and inscribed by Tiger Woods, 2013",,,,
c3698e49-4eb2-4e5c-a2b4-885274c755ec,"Zevs, Swimming Pools: Monet (PetroChina) & Monet (Total), 2025",,,,
2b2ac7b1-85c5-4fc5-9d63-9c7f094152ab,Zinedine Zidane 2024 Donruss FIFA Kaboom Black 1of1 PSA 8,,,,
