AssetID,Asset Name,Month,Date,Price,Currency
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-7-,,65.13,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-8-,,65.13,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2023-12,,50.00,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-1-,,50.00,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-10,,56.58,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-11,,56.74,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-12,,56.74,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-2-,,52.15,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-3-,,52.15,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-4-,,54.05,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-5-,,55.95,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-6-,,56.58,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-7-,,56.58,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-8-,,56.58,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2024-9-,,56.58,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2025-1-,,56.74,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2025-10,,57.53,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2025-11,,57.53,EUR
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",2025-12,,57.53,EUR
